mitre_id,name,tactic,description,url
T1134.004,Parent PID Spoofing,Stealth|Privilege Escalation,"Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, pr...",https://attack.mitre.org/techniques/T1134/004
T1591,Gather Victim Org Information,Reconnaissance,"Adversaries may gather information about the victim's organization that can be used during targeting. Information about an organization may include a variety of details, including the names of divisions/departments, s...",https://attack.mitre.org/techniques/T1591
T1606,Forge Web Credentials,Credential Access,Adversaries may forge credential materials that can be used to gain access to web applications or Internet services. Web applications and services (hosted in cloud SaaS environments or on-premise servers) often use se...,https://attack.mitre.org/techniques/T1606
T1621,Multi-Factor Authentication Request Generation,Credential Access,Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users.,https://attack.mitre.org/techniques/T1621
T1554,Compromise Host Software Binary,Persistence,"Adversaries may modify host software binaries to establish persistent access to systems. Software binaries/executables provide a wide range of system commands or services, programs, and libraries. Common software bina...",https://attack.mitre.org/techniques/T1554
T1552.008,Chat Messages,Credential Access,"Adversaries may directly collect unsecured credentials stored or passed through user communication services. Credentials may be sent and stored in user chat communication applications such as email, chat services like...",https://attack.mitre.org/techniques/T1552/008
T1059.001,PowerShell,Execution,Adversaries may abuse PowerShell commands and scripts for execution. PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system.(Citation: TechNet Po...,https://attack.mitre.org/techniques/T1059/001
T1546.001,Change Default File Association,Privilege Escalation|Persistence,"Adversaries may establish persistence by executing malicious content triggered by a file type association. When a file is opened, the default program used to open the file (also called the file association or handler)...",https://attack.mitre.org/techniques/T1546/001
T1055.014,VDSO Hijacking,Stealth|Privilege Escalation,Adversaries may inject malicious code into processes via VDSO hijacking in order to evade process-based defenses as well as possibly elevate privileges. Virtual dynamic shared object (vdso) hijacking is a method of ex...,https://attack.mitre.org/techniques/T1055/014
T1071.002,File Transfer Protocols,Command And Control,"Adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the ...",https://attack.mitre.org/techniques/T1071/002
T1679,Selective Exclusion,Stealth,"Adversaries may intentionally exclude certain files, folders, directories, file types, or system components from encryption or tampering during a ransomware or malicious payload execution. Some file extensions that ad...",https://attack.mitre.org/techniques/T1679
T1212,Exploitation for Credential Access,Credential Access,"Adversaries may exploit software vulnerabilities in an attempt to collect credentials. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or...",https://attack.mitre.org/techniques/T1212
T1546.014,Emond,Privilege Escalation|Persistence,Adversaries may gain persistence and elevate privileges by executing malicious content triggered by the Event Monitor Daemon (emond). Emond is a [Launch Daemon](https://attack.mitre.org/techniques/T1543/004) that acce...,https://attack.mitre.org/techniques/T1546/014
T1102.003,One-Way Communication,Command And Control,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to a compromised system without receiving return output over the Web service channel. Compromised systems may leverage p...",https://attack.mitre.org/techniques/T1102/003
T1590,Gather Victim Network Information,Reconnaissance,"Adversaries may gather information about the victim's networks that can be used during targeting. Information about networks may include a variety of details, including administrative data (ex: IP ranges, domain names...",https://attack.mitre.org/techniques/T1590
T1210,Exploitation of Remote Services,Lateral Movement,Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming erro...,https://attack.mitre.org/techniques/T1210
T1534,Internal Spearphishing,Lateral Movement,"After they already have access to accounts or systems within the environment, adversaries may use internal spearphishing to gain access to additional information or compromise other users within the same organization....",https://attack.mitre.org/techniques/T1534
T1574.010,Services File Permissions Weakness,Stealth|Execution,Adversaries may execute their own malicious payloads by hijacking the binaries used by services. Adversaries may use flaws in the permissions of Windows services to replace the binary that is executed upon service sta...,https://attack.mitre.org/techniques/T1574/010
T1547.001,Registry Run Keys / Startup Folder,Persistence|Privilege Escalation,"Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the ""run keys"" in the Registry or startup folder will cause the program referen...",https://attack.mitre.org/techniques/T1547/001
T1199,Trusted Relationship,Initial Access,Adversaries may breach or otherwise leverage organizations who have access to intended victims. Access through trusted third party relationship abuses an existing connection that may not be protected or receives less ...,https://attack.mitre.org/techniques/T1199
T1136.003,Cloud Account,Persistence,"Adversaries may create a cloud account to maintain access to victim systems. With a sufficient level of access, such accounts may be used to establish secondary credentialed access that does not require persistent rem...",https://attack.mitre.org/techniques/T1136/003
